lng,lat
-95.25,29.76
-85.79,42.97
-80.32,25.8
-82.87,40.03
-112.4,43.3
-84.2,34.2
-89.5,40.7
-84.2,38.0
-83.0,42.47
-93.6,43.1
-78.71,35.81
-86.6,36.5
-117.0,32.6
-78.6,34.7
-74.17,40.67
-80.37,25.85
-81.74,28.28
-82.3,38.9
-96.2,36.5
-79.86,32.82
-80.09,26.66
-95.34,29.97
-81.4,28.2
-80.4,25.9
-80.8,32.5
-80.4,25.9
-121.97399999999999,38.889
-80.32,25.8
-106.4,31.81
-84.65,33.76
-95.09,29.5
-74.06,40.78
-80.32,25.8
-79.61,40.35
-88.59,42.54
-85.9,39.0
-80.3,25.78
-81.18,32.18
-74.17,40.7
-88.721,34.187
-74.17,40.67
-78.7,35.0
-84.7,39.1
-89.4,38.3
-80.4,25.9
-106.57,35.15
-119.82,36.76
-80.09,26.66
-95.57,29.87
-111.94,33.37
-81.51,28.73
-96.3,41.5
-96.98,32.96
-82.01,27.99
-81.74,28.28
-87.0,35.2
-96.94,32.69
-74.41,40.57
-74.04,42.8
-117.58,34.1
-80.37,25.85
-90.2,35.2
-75.9,41.8
-80.3,25.78
-95.2,32.3
-82.01,27.99
-80.3,25.78
-81.6,28.5
-89.1,32.8
-81.4,28.2
-97.39,32.98
-79.2,35.5
-74.04,42.8
-84.0,42.9
-97.65,35.45
-97.65,35.45
-80.09,26.66
-80.09,26.66
-80.4,26.8
-118.24,33.87
-94.52,38.88
-122.36,47.23
-74.41,40.57
-80.31,25.82
-74.1,40.83
-91.6,41.0
-81.74,28.28
-76.19,40.63
-95.04,29.69
-113.7,35.3
-74.28,40.61
-74.17,40.67
-97.1,31.6
-90.03,29.97
-80.37,25.85
-106.4,31.81
-80.9,35.08
-81.35,40.76
-74.41,40.57
-112.3,40.5
-84.47,39.29
-80.32,25.8
-80.31,25.82
-118.26,33.78
-84.16,39.79
-84.16,39.79
-88.01,42.89
-110.8,39.6
-90.3,37.5
-84.2,40.2
-83.18,42.47
-84.2,40.2
-95.49,29.92
-122.26,47.4
-76.53,39.28
-84.42,39.34
-84.42,39.34
-83.18,42.47
-80.9,35.31
-80.68,27.92
-82.9,39.6
-84.42,39.34
-74.008,40.714
-95.46,29.58
-102.35,31.85
-83.18,42.47
-76.24,39.48
-122.4,47.26
-102.35,31.85
-87.95,42.17
-92.9,34.5
-82.9,39.6
-96.85,32.83
-77.7,35.9
-74.02,40.79
-89.6,40.5
-116.19,43.6
-87.4,36.5
-77.7,35.9
-80.19,25.78
-90.03,29.89
-83.7,42.4
-77.7,35.9
-81.74,28.28
-74.28,40.61
-81.74,28.28
-74.23,40.58
-80.3,25.78
-118.26,33.86
-106.4,31.81
-76.4,40.2
-81.74,28.28
-95.5,29.96
-77.7,35.9
-81.74,28.28
-71.1,44.3
-86.9,41.7
-82.12,34.91
-80.31,25.82
-81.74,28.28
-89.6,35.5
-80.4,25.9
-80.09,26.66
-76.4,40.2
-76.4,40.2
-95.21,32.42
-79.92,37.27
-82.43,27.94
-82.0,33.3
-80.3,25.78
-74.25,40.62
-76.4,40.2
-77.6,37.4
-121.974,38.889
-80.91,35.24
-119.82,36.76
-80.9,35.08
-88.25,43.15
-84.2,43.7
-73.0,43.4
-80.09,26.66
-97.49,35.43
-82.12,34.91
-87.95,43.14
-85.4,31.3
-83.3,36.2
-96.94,32.69
-81.33,41.14
-82.87,40.03
-97.67,30.15
-74.97,40.16
-80.37,25.85
-97.16,31.56
-97.32,37.71
-76.53,39.28
-95.88,41.23
-82.12,34.91
-118.24,33.87
-76.53,39.28
-87.95,41.96
-74.28,40.61
-95.26,29.85
-97.9,39.8
-80.36,25.79
-106.4,31.81
-82.12,34.91
-93.19,45.08
-74.17,40.67
-81.6,28.5
-86.4,32.3
-122.82,38.53
-118.06,33.93
-82.87,40.03
-118.24,33.87
-86.4,32.3
-80.62,28.39
-82.12,34.91
-76.26,36.88
-108.1,39.7
-102.3,31.9
-95.34,29.97
-75.01,40.12
-80.3,25.78
-80.37,25.85
-76.24,39.48
-80.17,42.07
-82.12,34.91
-73.92,41.29
-81.9,32.4
-84.2,40.0
-82.9,39.6
-86.4,32.3
-95.4,29.93
-80.17,42.07
-81.9,32.4
-74.41,40.57
-89.31,43.07
-104.8,39.9
-81.9,32.4
-76.53,39.28
-76.53,39.28
-79.9,40.36
-82.96,39.88
-108.4,45.7
